ano,mes,mes_nome,capitulo,grupo_cid,aih
2017,8,Ago,Cap 02,Neoplasias,72344
2017,8,Ago,Cap 03,Sangue/Imunidade,8756
2017,8,Ago,Cap 04,Endócrino/Metabólico,21509
2017,8,Ago,Cap 05,Mental/Comportamental,27910
2017,8,Ago,Cap 06,Nervoso,17407
2017,8,Ago,Cap 07,Olho/Anexos,11231
2017,8,Ago,Cap 08,Ouvido,1863
2017,8,Ago,Cap 09,Cardiovascular,104564
2017,8,Ago,Cap 10,Respiratório,102088
2017,8,Ago,Cap 11,Digestivo,101434
2017,8,Ago,Cap 12,Pele/Subcutâneo,23262
2017,8,Ago,Cap 13,Osteomuscular,19157
2017,8,Ago,Cap 14,Geniturinário,71825
2017,8,Ago,Cap 15,Materno/Perinatal,206220
2017,8,Ago,Cap 16,Perinatal,23951
2017,8,Ago,Cap 17,Congênito,7896
2017,8,Ago,Cap 18,Sintomas/Sinais,16717
2017,8,Ago,Cap 19,Lesões/Traumas,100428
2017,8,Ago,Cap 20,Causas Externas,0
2017,8,Ago,Cap 21,Fatores de Saúde,21970
2017,9,Set,Cap 01,Infeccioso/Parasitário,59345
2017,9,Set,Cap 02,Neoplasias,63954
2017,9,Set,Cap 03,Sangue/Imunidade,8393
2017,9,Set,Cap 04,Endócrino/Metabólico,19713
2017,9,Set,Cap 05,Mental/Comportamental,23968
2017,9,Set,Cap 06,Nervoso,15606
2017,9,Set,Cap 07,Olho/Anexos,9998
2017,9,Set,Cap 08,Ouvido,1682
2017,9,Set,Cap 09,Cardiovascular,93089
2017,9,Set,Cap 10,Respiratório,94079
2017,9,Set,Cap 11,Digestivo,91875
2017,9,Set,Cap 12,Pele/Subcutâneo,20812
2017,9,Set,Cap 13,Osteomuscular,16727
2017,9,Set,Cap 14,Geniturinário,66590
2017,9,Set,Cap 15,Materno/Perinatal,197889
2017,9,Set,Cap 16,Perinatal,22565
2017,9,Set,Cap 17,Congênito,6790
2017,9,Set,Cap 18,Sintomas/Sinais,15503
2017,9,Set,Cap 19,Lesões/Traumas,94598
2017,9,Set,Cap 20,Causas Externas,0
2017,9,Set,Cap 21,Fatores de Saúde,19718
2017,10,Out,Cap 01,Infeccioso/Parasitário,58240
2017,10,Out,Cap 02,Neoplasias,64647
2017,10,Out,Cap 03,Sangue/Imunidade,8497
2017,10,Out,Cap 04,Endócrino/Metabólico,19714
2017,10,Out,Cap 05,Mental/Comportamental,23056
2017,10,Out,Cap 06,Nervoso,15199
2017,10,Out,Cap 07,Olho/Anexos,10885
2017,10,Out,Cap 08,Ouvido,1742
2017,10,Out,Cap 09,Cardiovascular,88933
2017,10,Out,Cap 10,Respiratório,88606
2017,10,Out,Cap 11,Digestivo,92117
2017,10,Out,Cap 12,Pele/Subcutâneo,20454
2017,10,Out,Cap 13,Osteomuscular,17075
2017,10,Out,Cap 14,Geniturinário,67585
2017,10,Out,Cap 15,Materno/Perinatal,190076
2017,10,Out,Cap 16,Perinatal,21347
2017,10,Out,Cap 17,Congênito,6894
2017,10,Out,Cap 18,Sintomas/Sinais,15402
2017,10,Out,Cap 19,Lesões/Traumas,90481
2017,10,Out,Cap 20,Causas Externas,0
2017,10,Out,Cap 21,Fatores de Saúde,20114
2017,11,Nov,Cap 01,Infeccioso/Parasitário,49164
2017,11,Nov,Cap 02,Neoplasias,53587
2017,11,Nov,Cap 03,Sangue/Imunidade,7058
2017,11,Nov,Cap 04,Endócrino/Metabólico,16499
2017,11,Nov,Cap 05,Mental/Comportamental,18981
2017,11,Nov,Cap 06,Nervoso,12450
2017,11,Nov,Cap 07,Olho/Anexos,10359
2017,11,Nov,Cap 08,Ouvido,1394
2017,11,Nov,Cap 09,Cardiovascular,75477
2017,11,Nov,Cap 10,Respiratório,73461
2017,11,Nov,Cap 11,Digestivo,80896
2017,11,Nov,Cap 12,Pele/Subcutâneo,17597
2017,11,Nov,Cap 13,Osteomuscular,13836
2017,11,Nov,Cap 14,Geniturinário,58344
2017,11,Nov,Cap 15,Materno/Perinatal,170615
